"Lon","Lat","region"
1.375,61.875,"NorthSea.IBTS"
1.625,61.875,"NorthSea.EwE"
1.625,61.875,"NorthSea.IBTS"
1.875,61.875,"NorthSea.EwE"
1.875,61.875,"NorthSea.IBTS"
2.125,61.875,"NorthSea.EwE"
2.125,61.875,"NorthSea.IBTS"
2.375,61.875,"NorthSea.EwE"
2.375,61.875,"NorthSea.IBTS"
2.625,61.875,"NorthSea.EwE"
2.625,61.875,"NorthSea.IBTS"
2.875,61.875,"NorthSea.EwE"
2.875,61.875,"NorthSea.IBTS"
3.125,61.875,"NorthSea.EwE"
3.125,61.875,"NorthSea.IBTS"
3.375,61.875,"NorthSea.EwE"
3.375,61.875,"NorthSea.IBTS"
3.625,61.875,"NorthSea.EwE"
3.625,61.875,"NorthSea.IBTS"
3.875,61.875,"NorthSea.EwE"
3.875,61.875,"NorthSea.IBTS"
4.125,61.875,"NorthSea.EwE"
4.125,61.875,"NorthSea.IBTS"
4.375,61.875,"NorthSea.EwE"
4.375,61.875,"NorthSea.IBTS"
4.625,61.875,"NorthSea.EwE"
4.625,61.875,"NorthSea.IBTS"
4.875,61.875,"NorthSea.EwE"
4.875,61.875,"NorthSea.IBTS"
5.125,61.875,"NorthSea.EwE"
5.875,61.875,"NorthSea.EwE"
5.875,61.875,"NorthSea.IBTS"
6.625,61.875,"NorthSea.EwE"
6.625,61.875,"NorthSea.IBTS"
17.375,61.875,"Baltic.Sea"
17.625,61.875,"Baltic.Sea"
17.875,61.875,"Baltic.Sea"
18.125,61.875,"Baltic.Sea"
18.375,61.875,"Baltic.Sea"
18.625,61.875,"Baltic.Sea"
18.875,61.875,"Baltic.Sea"
19.125,61.875,"Baltic.Sea"
19.375,61.875,"Baltic.Sea"
19.625,61.875,"Baltic.Sea"
19.875,61.875,"Baltic.Sea"
20.125,61.875,"Baltic.Sea"
20.375,61.875,"Baltic.Sea"
20.625,61.875,"Baltic.Sea"
20.875,61.875,"Baltic.Sea"
21.125,61.875,"Baltic.Sea"
21.375,61.875,"Baltic.Sea"
-150.375,61.625,"Gulf.Alaska"
-4.875,61.625,"NorthSea.IBTS"
-4.625,61.625,"NorthSea.IBTS"
-4.375,61.625,"NorthSea.IBTS"
-4.125,61.625,"NorthSea.IBTS"
-3.875,61.625,"NorthSea.EwE"
-3.875,61.625,"NorthSea.IBTS"
-3.625,61.625,"NorthSea.EwE"
-3.625,61.625,"NorthSea.IBTS"
-3.375,61.625,"NorthSea.EwE"
-3.375,61.625,"NorthSea.IBTS"
-3.125,61.625,"NorthSea.EwE"
-3.125,61.625,"NorthSea.IBTS"
-2.875,61.625,"NorthSea.EwE"
-2.875,61.625,"NorthSea.IBTS"
-2.625,61.625,"NorthSea.EwE"
-2.625,61.625,"NorthSea.IBTS"
-2.375,61.625,"NorthSea.EwE"
-2.375,61.625,"NorthSea.IBTS"
-2.125,61.625,"NorthSea.EwE"
-2.125,61.625,"NorthSea.IBTS"
-1.875,61.625,"NorthSea.EwE"
-1.875,61.625,"NorthSea.IBTS"
-1.625,61.625,"NorthSea.EwE"
-1.625,61.625,"NorthSea.IBTS"
-1.375,61.625,"NorthSea.EwE"
-1.375,61.625,"NorthSea.IBTS"
-1.125,61.625,"NorthSea.EwE"
-1.125,61.625,"NorthSea.IBTS"
-0.875,61.625,"NorthSea.EwE"
-0.875,61.625,"NorthSea.IBTS"
-0.625,61.625,"NorthSea.EwE"
-0.625,61.625,"NorthSea.IBTS"
-0.375,61.625,"NorthSea.EwE"
-0.375,61.625,"NorthSea.IBTS"
-0.125,61.625,"NorthSea.EwE"
-0.125,61.625,"NorthSea.IBTS"
0.125,61.625,"NorthSea.EwE"
0.125,61.625,"NorthSea.IBTS"
0.375,61.625,"NorthSea.EwE"
0.375,61.625,"NorthSea.IBTS"
0.625,61.625,"NorthSea.EwE"
0.625,61.625,"NorthSea.IBTS"
0.875,61.625,"NorthSea.EwE"
0.875,61.625,"NorthSea.IBTS"
1.125,61.625,"NorthSea.EwE"
1.125,61.625,"NorthSea.IBTS"
1.375,61.625,"NorthSea.EwE"
1.375,61.625,"NorthSea.IBTS"
1.625,61.625,"NorthSea.EwE"
1.625,61.625,"NorthSea.IBTS"
1.875,61.625,"NorthSea.EwE"
1.875,61.625,"NorthSea.IBTS"
2.125,61.625,"NorthSea.EwE"
2.125,61.625,"NorthSea.IBTS"
2.375,61.625,"NorthSea.EwE"
2.375,61.625,"NorthSea.IBTS"
2.625,61.625,"NorthSea.EwE"
2.625,61.625,"NorthSea.IBTS"
2.875,61.625,"NorthSea.EwE"
2.875,61.625,"NorthSea.IBTS"
3.125,61.625,"NorthSea.EwE"
3.125,61.625,"NorthSea.IBTS"
3.375,61.625,"NorthSea.EwE"
3.375,61.625,"NorthSea.IBTS"
3.625,61.625,"NorthSea.EwE"
3.625,61.625,"NorthSea.IBTS"
3.875,61.625,"NorthSea.EwE"
3.875,61.625,"NorthSea.IBTS"
4.125,61.625,"NorthSea.EwE"
4.125,61.625,"NorthSea.IBTS"
4.375,61.625,"NorthSea.EwE"
4.375,61.625,"NorthSea.IBTS"
4.625,61.625,"NorthSea.EwE"
4.625,61.625,"NorthSea.IBTS"
4.875,61.625,"NorthSea.EwE"
5.125,61.625,"NorthSea.EwE"
5.125,61.625,"NorthSea.IBTS"
17.375,61.625,"Baltic.Sea"
17.625,61.625,"Baltic.Sea"
17.875,61.625,"Baltic.Sea"
18.125,61.625,"Baltic.Sea"
18.375,61.625,"Baltic.Sea"
18.625,61.625,"Baltic.Sea"
18.875,61.625,"Baltic.Sea"
19.125,61.625,"Baltic.Sea"
19.375,61.625,"Baltic.Sea"
19.625,61.625,"Baltic.Sea"
19.875,61.625,"Baltic.Sea"
20.125,61.625,"Baltic.Sea"
20.375,61.625,"Baltic.Sea"
20.625,61.625,"Baltic.Sea"
20.875,61.625,"Baltic.Sea"
21.125,61.625,"Baltic.Sea"
21.375,61.625,"Baltic.Sea"
-149.875,61.375,"Gulf.Alaska"
-4.875,61.375,"NorthSea.IBTS"
-4.625,61.375,"NorthSea.IBTS"
-4.375,61.375,"NorthSea.IBTS"
-4.125,61.375,"NorthSea.IBTS"
-3.875,61.375,"NorthSea.EwE"
-3.875,61.375,"NorthSea.IBTS"
-3.625,61.375,"NorthSea.EwE"
-3.625,61.375,"NorthSea.IBTS"
-3.375,61.375,"NorthSea.EwE"
-3.375,61.375,"NorthSea.IBTS"
-3.125,61.375,"NorthSea.EwE"
-3.125,61.375,"NorthSea.IBTS"
-2.875,61.375,"NorthSea.EwE"
-2.875,61.375,"NorthSea.IBTS"
-2.625,61.375,"NorthSea.EwE"
-2.625,61.375,"NorthSea.IBTS"
-2.375,61.375,"NorthSea.EwE"
-2.375,61.375,"NorthSea.IBTS"
-2.125,61.375,"NorthSea.EwE"
-2.125,61.375,"NorthSea.IBTS"
-1.875,61.375,"NorthSea.EwE"
-1.875,61.375,"NorthSea.IBTS"
-1.625,61.375,"NorthSea.EwE"
-1.625,61.375,"NorthSea.IBTS"
-1.375,61.375,"NorthSea.EwE"
-1.375,61.375,"NorthSea.IBTS"
-1.125,61.375,"NorthSea.EwE"
-1.125,61.375,"NorthSea.IBTS"
-0.875,61.375,"NorthSea.EwE"
-0.875,61.375,"NorthSea.IBTS"
-0.625,61.375,"NorthSea.EwE"
-0.625,61.375,"NorthSea.IBTS"
-0.375,61.375,"NorthSea.EwE"
-0.375,61.375,"NorthSea.IBTS"
-0.125,61.375,"NorthSea.EwE"
-0.125,61.375,"NorthSea.IBTS"
0.125,61.375,"NorthSea.EwE"
0.125,61.375,"NorthSea.IBTS"
0.375,61.375,"NorthSea.EwE"
0.375,61.375,"NorthSea.IBTS"
0.625,61.375,"NorthSea.EwE"
0.625,61.375,"NorthSea.IBTS"
0.875,61.375,"NorthSea.EwE"
0.875,61.375,"NorthSea.IBTS"
1.125,61.375,"NorthSea.EwE"
1.125,61.375,"NorthSea.IBTS"
1.375,61.375,"NorthSea.EwE"
1.375,61.375,"NorthSea.IBTS"
1.625,61.375,"NorthSea.EwE"
1.625,61.375,"NorthSea.IBTS"
1.875,61.375,"NorthSea.EwE"
1.875,61.375,"NorthSea.IBTS"
2.125,61.375,"NorthSea.EwE"
2.125,61.375,"NorthSea.IBTS"
2.375,61.375,"NorthSea.EwE"
2.375,61.375,"NorthSea.IBTS"
2.625,61.375,"NorthSea.EwE"
2.625,61.375,"NorthSea.IBTS"
2.875,61.375,"NorthSea.EwE"
2.875,61.375,"NorthSea.IBTS"
3.125,61.375,"NorthSea.EwE"
3.125,61.375,"NorthSea.IBTS"
3.375,61.375,"NorthSea.EwE"
3.375,61.375,"NorthSea.IBTS"
3.625,61.375,"NorthSea.EwE"
3.625,61.375,"NorthSea.IBTS"
3.875,61.375,"NorthSea.EwE"
3.875,61.375,"NorthSea.IBTS"
4.125,61.375,"NorthSea.EwE"
4.125,61.375,"NorthSea.IBTS"
4.375,61.375,"NorthSea.EwE"
4.375,61.375,"NorthSea.IBTS"
4.625,61.375,"NorthSea.EwE"
4.625,61.375,"NorthSea.IBTS"
4.875,61.375,"NorthSea.EwE"
4.875,61.375,"NorthSea.IBTS"
7.375,61.375,"NorthSea.EwE"
7.375,61.375,"NorthSea.IBTS"
17.125,61.375,"Baltic.Sea"
17.375,61.375,"Baltic.Sea"
17.625,61.375,"Baltic.Sea"
17.875,61.375,"Baltic.Sea"
18.125,61.375,"Baltic.Sea"
18.375,61.375,"Baltic.Sea"
18.625,61.375,"Baltic.Sea"
18.875,61.375,"Baltic.Sea"
19.125,61.375,"Baltic.Sea"
19.375,61.375,"Baltic.Sea"
19.625,61.375,"Baltic.Sea"
19.875,61.375,"Baltic.Sea"
20.125,61.375,"Baltic.Sea"
20.375,61.375,"Baltic.Sea"
