"Lon","Lat","region"
21.5,64.5,"Baltic.Sea"
22.5,64.5,"Baltic.Sea"
23.5,64.5,"Baltic.Sea"
19.5,63.5,"Baltic.Sea"
20.5,63.5,"Baltic.Sea"
21.5,63.5,"Baltic.Sea"
18.5,62.5,"Baltic.Sea"
19.5,62.5,"Baltic.Sea"
20.5,62.5,"Baltic.Sea"
-4.5,61.5,"NorthSea.IBTS"
-3.5,61.5,"NorthSea.EwE"
-3.5,61.5,"NorthSea.IBTS"
-2.5,61.5,"NorthSea.EwE"
-2.5,61.5,"NorthSea.IBTS"
-1.5,61.5,"NorthSea.EwE"
-1.5,61.5,"NorthSea.IBTS"
-0.5,61.5,"NorthSea.EwE"
-0.5,61.5,"NorthSea.IBTS"
0.5,61.5,"NorthSea.EwE"
0.5,61.5,"NorthSea.IBTS"
1.5,61.5,"NorthSea.EwE"
1.5,61.5,"NorthSea.IBTS"
2.5,61.5,"NorthSea.EwE"
2.5,61.5,"NorthSea.IBTS"
3.5,61.5,"NorthSea.EwE"
3.5,61.5,"NorthSea.IBTS"
4.5,61.5,"NorthSea.EwE"
4.5,61.5,"NorthSea.IBTS"
17.5,61.5,"Baltic.Sea"
18.5,61.5,"Baltic.Sea"
19.5,61.5,"Baltic.Sea"
20.5,61.5,"Baltic.Sea"
-178.5,60.5,"East.Bearing.Sea.shelf"
-177.5,60.5,"East.Bearing.Sea.shelf"
-176.5,60.5,"East.Bearing.Sea.shelf"
-175.5,60.5,"East.Bearing.Sea.shelf"
-174.5,60.5,"East.Bearing.Sea.shelf"
-173.5,60.5,"East.Bearing.Sea.shelf"
-172.5,60.5,"East.Bearing.Sea.shelf"
-171.5,60.5,"East.Bearing.Sea.shelf"
-170.5,60.5,"East.Bearing.Sea.shelf"
-169.5,60.5,"East.Bearing.Sea.shelf"
-168.5,60.5,"East.Bearing.Sea.shelf"
-167.5,60.5,"East.Bearing.Sea.shelf"
-166.5,60.5,"East.Bearing.Sea.shelf"
-151.5,60.5,"Gulf.Alaska"
-147.5,60.5,"Gulf.Alaska"
-146.5,60.5,"Gulf.Alaska"
-4.5,60.5,"NorthSea.IBTS"
-3.5,60.5,"NorthSea.EwE"
-3.5,60.5,"NorthSea.IBTS"
-2.5,60.5,"NorthSea.EwE"
-2.5,60.5,"NorthSea.IBTS"
-0.5,60.5,"NorthSea.EwE"
-0.5,60.5,"NorthSea.IBTS"
0.5,60.5,"NorthSea.EwE"
0.5,60.5,"NorthSea.IBTS"
1.5,60.5,"NorthSea.EwE"
1.5,60.5,"NorthSea.IBTS"
2.5,60.5,"NorthSea.EwE"
2.5,60.5,"NorthSea.IBTS"
3.5,60.5,"NorthSea.EwE"
3.5,60.5,"NorthSea.IBTS"
4.5,60.5,"NorthSea.EwE"
4.5,60.5,"NorthSea.IBTS"
18.5,60.5,"Baltic.Sea"
19.5,60.5,"Baltic.Sea"
20.5,60.5,"Baltic.Sea"
-177.5,59.5,"East.Bearing.Sea.shelf"
-176.5,59.5,"East.Bearing.Sea.shelf"
-175.5,59.5,"East.Bearing.Sea.shelf"
-174.5,59.5,"East.Bearing.Sea.shelf"
-173.5,59.5,"East.Bearing.Sea.shelf"
-172.5,59.5,"East.Bearing.Sea.shelf"
-171.5,59.5,"East.Bearing.Sea.shelf"
-170.5,59.5,"East.Bearing.Sea.shelf"
-169.5,59.5,"East.Bearing.Sea.shelf"
-168.5,59.5,"East.Bearing.Sea.shelf"
-167.5,59.5,"East.Bearing.Sea.shelf"
-166.5,59.5,"East.Bearing.Sea.shelf"
-165.5,59.5,"East.Bearing.Sea.shelf"
-164.5,59.5,"East.Bearing.Sea.shelf"
-153.5,59.5,"Gulf.Alaska"
-152.5,59.5,"Gulf.Alaska"
-151.5,59.5,"Gulf.Alaska"
-149.5,59.5,"Gulf.Alaska"
-148.5,59.5,"Gulf.Alaska"
-147.5,59.5,"Gulf.Alaska"
-146.5,59.5,"Gulf.Alaska"
-145.5,59.5,"Gulf.Alaska"
-144.5,59.5,"Gulf.Alaska"
-143.5,59.5,"Gulf.Alaska"
-142.5,59.5,"Gulf.Alaska"
-141.5,59.5,"Gulf.Alaska"
-140.5,59.5,"Gulf.Alaska"
-4.5,59.5,"NorthSea.IBTS"
-3.5,59.5,"NorthSea.EwE"
-3.5,59.5,"NorthSea.IBTS"
-2.5,59.5,"NorthSea.EwE"
